,Australia,New Zealand,Sri Lanka,England,Bangladesh,Pakistan,Scotland,Papua New Guinea,Ireland,West Indies,India,Zimbabwe,Thailand,Netherlands,Nepal,United States of America,Tanzania,Uganda,Ghana,Kenya,Canada,United Arab Emirates,South Africa,Barbados,Oman,Namibia,ICC World XI,Malaysia,Hong Kong,China,Bermuda,Japan,South Korea,Northern Knights,North-West Warriors,Munster Reds,Leinster Lightning,Cape Cobras,Lions,Dolphins,Warriors,Boland,Western Province,Titans,Impi,Knights,North West,Sapphires,Falcons,Spirit,KwaZulu-Natal Inland,Vanuatu,Samoa,Fiji,Philippines,Indonesia,Singapore,Cook Islands,Denmark,Qatar,Kuwait,Jersey,Germany,France,Italy,Nigeria,Bhutan,Bahrain,Myanmar,Maldives,Mongolia,Austria,Mozambique,Rwanda,Eswatini,Botswana,Seychelles,Gambia,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Trinbago Knight Riders,Jamaica Tallawahs,Barbados Tridents,Antigua Hawksbills,Trinidad & Tobago Red Steel,St Lucia Zouks,St Lucia Stars,Barbados Royals,St Lucia Kings,Sydney Thunder,Perth Scorchers,Brisbane Heat,Melbourne Renegades,Melbourne Stars,Hobart Hurricanes,Adelaide Strikers,Sydney Sixers,Antigua and Barbuda Falcons,Loughborough Lightning,Yorkshire Diamonds,Lancashire Thunder,Surrey Stars,Southern Vipers,South East Stars,Sunrisers,Thunder,Lightning,Northern Diamonds,Central Sparks,Western Storm,The Blaze,Gibraltar,Hungary,Portugal,Luxembourg,Isle of Man,Cayman Islands,Guernsey,Cyprus,Norway,Spain,Sweden,Belgium,Croatia,Finland,Estonia,Serbia,Romania,Turkey,Greece,Malta,Israel,Czech Republic,Cambodia,Saudi Arabia,Canterbury,Wellington Firebirds,Otago Volts,Auckland,Wellington,Otago,Central Districts,Central Stags,Auckland Aces,Northern Districts,Brazil,Cameroon,Mali,Lesotho,Malawi,Panama,Belize,Argentina,Bahamas,Switzerland,Suriname,Mexico,Rajshahi Kings,Barisal Bulls,Rangpur Riders,Chittagong Vikings,Dhaka Dynamites,Khulna Titans,Sylhet Sixers,Sylhet Sunrisers,Fortune Barishal,Chattogram Challengers,Khulna Tigers,Sylhet Strikers,Dhaka Dominators,Durdanto Dhaka,Sylhet Super Stars,Comilla Victorians,Dhaka Capital,Chittagong Kings,Barisal Burners,Khulna Royal Bengals,Duronto Rajshahi,Nottinghamshire,Warwickshire,Worcestershire,Durham,Lancashire,Northamptonshire,Derbyshire,Leicestershire,Birmingham Bears,Essex,Hampshire,Kent,Surrey,Somerset,Sussex,Glamorgan,Gloucestershire,Middlesex,Yorkshire,Sierra Leone,Swaziland,St Helena,Peshawar Zalmi,Quetta Gladiators,Multan Sultans,Karachi Kings,Lahore Qalandars,Islamabad United,Royal Challengers Bangalore,Gujarat Lions,Kings XI Punjab,Delhi Daredevils,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Delhi Capitals,Chennai Super Kings,Punjab Kings,Gujarat Titans,Royal Challengers Bengaluru,Lucknow Super Giants,Pune Warriors,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiant,Deccan Chargers,Kochi Tuskers Kerala,UP Warriorz,Gujarat Giants,Zambia,Ivory Coast,Iran,Slovenia,Bulgaria,South Australia,Queensland,Tasmania,Western Australia,Victoria,New South Wales,Mumbai,Gujarat,Saurashtra,Maharashtra,Bengal,Tamil Nadu,Tripura,Hyderabad (India),Puducherry,Karnataka,Uttarakhand,Andhra,Bihar,Services,Delhi,Himachal,Chhattisgarh,Haryana,Punjab,Nagaland,Jammu & Kashmir,Assam,Railways,Goa,Madhya Pradesh,Vidarbha,Uttar Pradesh,Baroda,Arunachal Pradesh,Odisha,Jharkhand,Meghalaya,Manipur,Kerala,Mizoram,Sikkim,Rajasthan,Chandigarh,Himachal Pradesh,Trailblazers,Velocity,Tshwane Spartans,Durban Heat,Nelson Mandela Bay Giants,Jozi Stars,Paarl Rocks,Cape Town Blitz,Supernovas,Sylhet Thunder,Rangpur Rangers,Dhaka Platoon,Cumilla Warriors,Rajshahi Royals,Minister Group Dhaka,Durbar Rajshahi,Galle Gladiators,Dambulla Viiking,Kandy Tuskers,Colombo Kings,Jaffna Stallions,Jaffna Kings,Kandy Warriors,Dambulla Giants,Colombo Stars,Kandy Falcons,Manchester Originals,Welsh Fire,Trent Rockets,London Spirit,Birmingham Phoenix,Southern Brave,Northern Superchargers,Oval Invincibles,Chile,Jamaica,Guyana,Leeward Islands,Windward Islands,Trinidad and Tobago,Dambulla Aura,Colombo Strikers,Galle Titans,Dambulla Sixers,Galle Marvels,Warriors (FairBreak),Barmy Army,Tornadoes,B-Love Kandy,Paarl Royals,Joburg Super Kings,Pretoria Capitals,Sunrisers Eastern Cape,Durban's Super Giants,MI Cape Town,Abu Dhabi Knight Riders,MI Emirates,Desert Vipers,Gulf Giants,Sharjah Warriors,Dubai Capitals,Sharjah Warriorz,Los Angeles Knight Riders,MI New York,San Francisco Unicorns,Seattle Orcas,Washington Freedom,Texas Super Kings,Costa Rica,Dhaka Gladiators,Sylhet Royals,Biratnagar Kings,Karnali Yaks,Pokhara Avengers,Lumbini Lions,Kathmandu Gurkhas,Sudur Paschim Royals,Janakpur Bolts,Chitwan Rhinos,Asia XI,Africa XI
South Africa,53,52,68,49,52,72,4,1,26,65,59,36,1,7,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,26,48,69,32,55,0,6,1,21,55,25,53,4,9,2,0,0,0,0,4,2,4,53,0,0,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,36,40,0,39,67,50,6,0,13,42,43,32,5,9,0,1,0,1,0,4,2,6,36,0,1,1,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,81,59,114,92,65,51,2,0,18,91,0,34,4,4,3,1,0,0,0,3,0,4,77,1,0,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,3,2,8,1,24,7,6,6,19,7,5,0,6,7,4,6,5,7,0,8,1,8,0,0,1,14,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,28,0,68,45,59,77,6,1,16,52,51,22,0,7,0,1,0,1,0,3,3,2,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,83,86,57,0,31,89,3,0,17,85,81,6,1,6,0,1,0,0,0,1,1,0,79,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,6,16,23,9,0,16,7,5,23,35,12,69,6,6,3,4,0,0,0,5,0,5,8,0,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Indies,23,22,33,45,50,40,2,2,22,0,31,26,1,5,1,2,0,1,0,0,1,5,33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,103,75,134,36,84,6,0,15,78,102,14,0,2,0,1,0,0,0,2,1,1,68,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
