player,team,matches,runs_scored,batting_avg,strike_rate,wickets_taken,bowling_avg,economy_rate,maidens,dot_balls,key_wickets,catches,run_outs,potm_wins,potm_rate,team_wins,win_rate,avg_last_5_runs,avg_last_5_wickets
MT Renshaw,Queensland,184,7300,39.67,60.45,25,49.48,4.82,19,864,14,135,3,5,0.03,77,0.42,54.4,0.2
DA Warner,Australia,612,27003,44.12,95.18,4,71.5,4.88,1,196,3,334,22,57,0.09,321,0.52,46.0,0.0
UT Khawaja,Australia,262,13150,50.19,60.74,0,13.0,3.25,0,14,0,136,6,15,0.06,134,0.51,17.2,0.0
SPD Smith,Australia,484,21586,44.6,70.5,79,34.03,5.14,29,1599,27,402,30,41,0.08,269,0.56,77.6,0.0
PSP Handscomb,Rising Pune Supergiants,284,11475,40.4,65.33,0,81.0,7.36,0,32,0,312,10,4,0.01,126,0.44,22.8,0.0
NJ Maddinson,Guyana Amazon Warriors,183,5531,30.22,79.4,15,34.13,5.75,5,234,10,85,6,11,0.06,81,0.44,22.4,0.0
MS Wade,Australia,365,10734,29.41,80.45,4,58.5,4.54,2,181,0,325,42,22,0.06,175,0.48,23.4,0.0
MA Starc,Australia,345,3326,9.64,61.86,855,25.2,4.27,648,19968,374,134,9,23,0.07,213,0.62,6.4,3.0
NM Lyon,Australia,243,2068,8.51,49.86,778,30.4,3.12,1328,32759,301,73,6,9,0.04,129,0.53,14.8,3.4
JR Hazlewood,Australia,261,706,2.7,48.93,574,24.58,3.72,700,15983,300,59,4,8,0.03,149,0.57,0.4,1.4
JM Bird,Nottinghamshire,161,1074,6.67,65.33,351,26.74,3.54,547,11553,207,71,4,7,0.04,74,0.46,10.2,3.0
Sami Aslam,Pakistan,17,836,49.18,40.78,0,0.0,0.0,0,0,0,7,0,0,0.0,4,0.24,40.0,0.0
Azhar Ali,Lahore Qalandars,220,12153,55.24,48.08,21,54.71,4.79,12,723,8,100,9,5,0.02,91,0.41,27.2,0.0
Babar Azam,Islamabad United,427,19207,44.98,88.05,2,23.0,3.07,2,61,0,213,11,37,0.09,206,0.48,24.6,0.0
Younis Khan,Pakistan,274,12343,45.05,60.34,11,54.82,4.3,11,498,2,192,21,20,0.07,133,0.49,69.8,0.0
Misbah-ul-Haq,Islamabad United,283,11506,40.66,59.22,0,30.0,7.5,0,7,0,122,16,13,0.05,136,0.48,24.8,0.0
Asad Shafiq,Quetta Gladiators,163,6550,40.18,54.24,3,71.67,3.62,2,208,2,98,2,2,0.01,67,0.41,32.8,0.0
Sarfraz Ahmed,Pakistan,261,7732,29.62,86.05,0,21.0,7.88,0,7,0,302,25,13,0.05,115,0.44,25.4,0.0
Mohammad Amir,Pakistan,375,1554,4.14,53.26,591,24.04,4.7,363,10985,323,37,16,11,0.03,170,0.45,1.0,1.0
Sohail Khan,Karachi Kings,71,430,6.06,80.22,94,35.55,5.53,57,2048,53,8,3,0,0.0,35,0.49,4.2,0.8
Wahab Riaz,Pakistan,330,2022,6.13,84.67,521,25.84,5.53,135,7569,231,82,14,7,0.02,155,0.47,7.2,1.8
Yasir Shah,Dhaka Dynamites,125,1289,10.31,52.44,337,31.91,3.68,375,11680,146,37,5,6,0.05,51,0.41,6.0,1.4
TM Head,Australia,327,14320,43.79,85.55,92,43.27,4.55,72,2967,43,119,9,33,0.1,164,0.5,20.8,0.6
CA Lynn,Guyana Amazon Warriors,284,8336,29.35,139.28,3,17.33,6.5,0,14,2,74,2,20,0.07,126,0.44,28.8,0.0
MR Marsh,Australia,319,9579,30.03,89.85,212,31.84,5.01,106,4592,107,135,8,26,0.08,167,0.52,32.0,0.6
GJ Maxwell,Australia,589,14991,25.45,130.83,299,34.3,6.05,54,4363,178,313,36,50,0.08,325,0.55,17.2,0.0
JP Faulkner,Australia,281,3299,11.74,104.83,424,22.14,6.3,62,4050,190,77,14,14,0.05,154,0.55,10.8,1.4
PJ Cummins,Kolkata Knight Riders,292,2870,9.83,64.03,609,25.33,4.24,521,14204,306,88,12,13,0.04,164,0.56,0.0,0.8
B Stanlake,Adelaide Strikers,97,50,0.52,28.9,120,27.57,6.26,32,1659,82,12,0,3,0.03,50,0.52,0.0,1.0
Sharjeel Khan,Pakistan,93,2371,25.49,124.99,0,0.0,0.0,0,0,0,19,0,4,0.04,40,0.43,11.8,0.0
Mohammad Hafeez,Pakistan,515,14890,28.91,80.08,321,30.75,4.29,140,7475,189,181,19,34,0.07,260,0.5,9.2,0.0
Umar Akmal,Trinbago Knight Riders,285,7459,26.17,94.25,0,0.0,0.0,0,0,0,180,29,18,0.06,123,0.43,35.8,0.0
Mohammad Rizwan,Lahore Qalandars,305,11631,38.13,89.93,0,5.0,2.5,0,10,0,317,42,22,0.07,153,0.5,12.2,0.0
Imad Wasim,Jamaica Tallawahs,363,3990,10.99,119.68,357,25.45,6.15,20,3686,240,85,15,18,0.05,188,0.52,3.8,0.2
Mohammad Nawaz (3),Pakistan,99,834,8.42,87.51,98,27.06,5.92,14,1282,66,39,2,5,0.05,60,0.61,5.0,0.8
Hasan Ali,Peshawar Zalmi,265,1485,5.6,99.6,488,23.68,5.11,244,8000,208,56,16,15,0.06,151,0.57,2.8,2.0
M Klinger,Gloucestershire,205,7624,37.19,88.88,0,0.0,0.0,0,0,0,103,4,18,0.09,101,0.49,59.0,0.0
AJ Finch,Australia,527,17308,32.84,105.85,15,47.53,6.16,6,284,12,247,15,41,0.08,254,0.48,22.6,0.0
BR Dunk,Hobart Hurricanes,156,3382,21.68,127.14,3,39.33,9.19,0,24,2,91,5,10,0.06,64,0.41,16.0,0.0
MC Henriques,Australia,296,7438,25.13,84.7,123,28.67,5.82,36,1751,74,126,7,12,0.04,152,0.51,11.0,0.6
AJ Turner,Perth Scorchers,214,4484,20.95,105.56,34,28.41,6.25,9,386,24,114,3,10,0.05,113,0.53,3.6,0.6
TD Paine,Hobart Hurricanes,141,4328,30.7,60.07,0,0.0,0.0,0,0,0,326,12,4,0.03,59,0.42,25.4,0.0
AJ Tye,Gloucestershire,256,782,3.05,123.54,407,19.73,8.0,6,2046,146,78,15,11,0.04,137,0.54,1.4,2.0
JA Richardson,Western Australia,123,783,6.37,81.9,209,22.61,5.14,139,3301,108,35,2,10,0.08,67,0.54,8.2,1.8
N Dickwella,Sri Lanka,192,5952,31.0,84.23,0,0.0,0.0,0,0,0,219,17,3,0.02,67,0.35,35.2,0.0
WU Tharanga,Sri Lanka,289,9323,32.26,72.58,0,0.0,0.0,0,0,0,75,12,15,0.05,136,0.47,35.6,0.0
EMDY Munaweera,Sylhet Super Stars,52,802,15.42,103.48,12,38.25,6.77,0,142,9,8,1,0,0.0,19,0.37,15.2,0.0
BKG Mendis,Sri Lanka,321,12044,37.52,79.06,1,146.0,5.62,1,75,0,235,40,22,0.07,133,0.41,25.4,0.0
DAS Gunaratne,Sri Lanka,60,1497,24.95,75.23,45,30.36,5.92,5,552,30,21,3,4,0.07,21,0.35,32.8,0.6
TAM Siriwardana,Sri Lanka,56,1121,20.02,90.92,29,36.55,5.36,8,590,21,15,0,1,0.02,14,0.25,12.6,0.2
CK Kapugedera,Sri Lanka,134,2671,19.93,74.07,2,156.0,5.78,0,129,1,52,9,1,0.01,53,0.4,12.2,0.0
S Prasanna,Sri Lanka,151,1418,9.39,114.35,127,35.61,5.78,29,2104,72,40,6,1,0.01,62,0.41,8.6,0.8
KMDN Kulasekara,Sri Lanka,268,1915,7.15,69.21,358,29.09,4.76,198,7822,230,73,30,8,0.03,138,0.51,5.4,1.4
SL Malinga,Sri Lanka,458,1009,2.2,66.91,755,24.56,5.5,151,10260,353,57,31,19,0.04,240,0.52,0.4,3.0
JRMVB Sanjaya,Sri Lanka,8,20,2.5,111.11,10,25.7,8.43,0,55,9,0,0,0,0.0,3,0.38,3.0,1.2
