team,matches,wins,win_rate,avg_runs,avg_wickets,toss_wins,toss_win_rate,field_first_rate
Australia,1149,729,0.63,275.87,9.5,597,0.52,0.21
Pakistan,1039,480,0.46,235.31,8.14,508,0.49,0.2
Sri Lanka,1043,443,0.42,242.67,7.93,537,0.51,0.21
Northern Knights,83,36,0.43,174.75,6.96,35,0.42,0.24
Leinster Lightning,84,55,0.65,183.4,7.63,41,0.49,0.3
Titans,103,65,0.63,148.28,6.35,40,0.39,0.31
Dolphins,95,41,0.43,139.14,5.54,54,0.57,0.27
Lions,96,50,0.52,136.33,6.25,52,0.54,0.33
Knights,92,32,0.35,139.33,5.17,41,0.45,0.26
Cape Cobras,75,38,0.51,149.04,5.89,32,0.43,0.23
Papua New Guinea,196,85,0.43,151.23,7.06,92,0.47,0.28
Namibia,280,142,0.51,151.5,7.01,146,0.52,0.29
Zimbabwe,565,176,0.31,191.78,6.5,300,0.53,0.27
India,1221,712,0.58,262.79,8.92,570,0.47,0.23
New Zealand,990,480,0.48,242.05,8.47,497,0.5,0.27
Bangladesh,759,268,0.35,213.73,7.37,373,0.49,0.25
South Africa,1023,554,0.54,252.42,8.84,512,0.5,0.24
England,1187,630,0.53,275.42,9.24,606,0.51,0.27
Brisbane Heat,279,145,0.52,146.87,6.11,143,0.51,0.32
Hobart Hurricanes,264,112,0.42,145.21,5.73,125,0.47,0.3
Sydney Sixers,282,162,0.57,142.17,6.36,148,0.52,0.31
Perth Scorchers,285,163,0.57,145.15,6.44,149,0.52,0.27
Melbourne Renegades,264,109,0.41,139.39,5.8,126,0.48,0.35
Melbourne Stars,274,119,0.43,138.11,5.88,145,0.53,0.37
Sydney Thunder,265,113,0.43,138.98,5.97,133,0.5,0.31
Adelaide Strikers,277,134,0.48,145.08,6.18,126,0.45,0.22
Jamaica Tallawahs,117,58,0.5,150.4,6.22,54,0.46,0.39
Trinbago Knight Riders,117,69,0.59,148.17,6.28,61,0.52,0.46
Guyana Amazon Warriors,144,83,0.58,145.19,6.74,76,0.53,0.4
Hong Kong,230,106,0.46,134.74,6.82,111,0.48,0.27
West Indies,947,347,0.37,227.41,7.79,466,0.49,0.3
Ireland,456,196,0.43,166.96,6.7,229,0.5,0.3
Germany,91,52,0.57,124.74,7.01,47,0.52,0.35
Isle of Man,32,19,0.59,102.84,6.22,20,0.62,0.41
Northern Districts,224,93,0.42,282.15,10.25,100,0.45,0.25
Otago Volts,91,18,0.2,473.33,14.33,46,0.51,0.34
Central Stags,89,31,0.35,499.82,15.93,46,0.52,0.35
Canterbury,232,110,0.47,271.38,10.16,116,0.5,0.31
Wellington Firebirds,88,33,0.38,473.92,15.33,40,0.45,0.36
Qatar,99,44,0.44,142.88,6.49,48,0.48,0.3
Saudi Arabia,60,32,0.53,135.27,6.77,33,0.55,0.37
Kenya,241,118,0.49,154.18,7.08,110,0.46,0.17
Denmark,95,46,0.48,159.15,7.11,63,0.66,0.31
Jersey,102,64,0.63,162.22,7.69,48,0.47,0.27
United States of America,203,102,0.5,165.33,6.87,92,0.45,0.29
Bermuda,82,36,0.44,148.04,6.72,32,0.39,0.12
Chittagong Vikings,44,16,0.36,148.77,5.77,20,0.45,0.3
Barisal Bulls,25,13,0.52,134.64,5.88,12,0.48,0.28
Comilla Victorians,90,59,0.66,146.71,6.91,42,0.47,0.39
Rajshahi Kings,38,17,0.45,143.53,6.21,22,0.58,0.39
Rangpur Riders,101,58,0.57,147.92,6.73,56,0.55,0.39
Dhaka Dynamites,53,30,0.57,153.06,7.08,25,0.47,0.25
Khulna Titans,37,16,0.43,143.84,6.05,21,0.57,0.3
Hampshire,382,176,0.46,289.24,9.95,174,0.46,0.23
