venue,team,matches,wins,losses,win_rate,lose_rate
Melbourne Cricket Ground,Australia,79,54,21,0.68,0.27
Melbourne Cricket Ground,Pakistan,9,1,8,0.11,0.89
"Brisbane Cricket Ground, Woolloongabba",Australia,37,27,5,0.73,0.14
"Brisbane Cricket Ground, Woolloongabba",Pakistan,6,2,4,0.33,0.67
"Simonds Stadium, South Geelong",Australia,2,0,2,0.0,1.0
"Simonds Stadium, South Geelong",Sri Lanka,1,1,0,1.0,0.0
"Civil Service Cricket Club, Stormont, Belfast",Northern Knights,19,4,12,0.21,0.63
"Civil Service Cricket Club, Stormont, Belfast",Leinster Lightning,7,5,1,0.71,0.14
"Kingsmead, Durban",Titans,12,5,7,0.42,0.58
"Kingsmead, Durban",Dolphins,37,19,16,0.51,0.43
"Diamond Oval, Kimberley",Lions,2,1,0,0.5,0.0
"Diamond Oval, Kimberley",Knights,11,2,8,0.18,0.73
"Newlands, Cape Town",Knights,5,0,5,0.0,1.0
"Newlands, Cape Town",Cape Cobras,17,11,6,0.65,0.35
Amini Park,Papua New Guinea,9,8,0,0.89,0.0
Amini Park,Namibia,3,0,3,0.0,1.0
Harare Sports Club,Zimbabwe,173,53,113,0.31,0.65
Harare Sports Club,India,30,24,6,0.8,0.2
McLean Park,New Zealand,25,12,10,0.48,0.4
McLean Park,Bangladesh,5,0,5,0.0,1.0
Eden Park,New Zealand,55,25,24,0.45,0.44
Eden Park,Australia,12,7,4,0.58,0.33
Seddon Park,New Zealand,53,34,15,0.64,0.28
Seddon Park,Australia,6,3,3,0.5,0.5
Eden Park,South Africa,7,4,3,0.57,0.43
Kennington Oval,England,51,28,19,0.55,0.37
Kennington Oval,Bangladesh,5,1,3,0.2,0.6
Edgbaston,Australia,14,1,8,0.07,0.57
Edgbaston,New Zealand,6,1,2,0.17,0.33
"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,42,18,22,0.43,0.52
"Brisbane Cricket Ground, Woolloongabba",Hobart Hurricanes,8,4,4,0.5,0.5
"Brisbane Cricket Ground, Woolloongabba",Sydney Sixers,7,6,0,0.86,0.0
Western Australia Cricket Association Ground,Perth Scorchers,30,20,10,0.67,0.33
Western Australia Cricket Association Ground,Brisbane Heat,5,2,3,0.4,0.6
Sydney Cricket Ground,Sydney Sixers,72,44,23,0.61,0.32
Sydney Cricket Ground,Melbourne Renegades,8,1,7,0.12,0.88
"Brisbane Cricket Ground, Woolloongabba",Perth Scorchers,5,2,3,0.4,0.6
Docklands Stadium,Melbourne Renegades,45,20,25,0.44,0.56
Docklands Stadium,Hobart Hurricanes,5,2,3,0.4,0.6
Western Australia Cricket Association Ground,Melbourne Stars,6,2,4,0.33,0.67
Sydney Showground Stadium,Sydney Thunder,46,21,24,0.46,0.52
Sydney Showground Stadium,Adelaide Strikers,9,3,6,0.33,0.67
Bellerive Oval,Hobart Hurricanes,55,27,26,0.49,0.47
Bellerive Oval,Perth Scorchers,6,4,1,0.67,0.17
Western Australia Cricket Association Ground,Sydney Sixers,3,1,2,0.33,0.67
North Sydney Oval,Perth Scorchers,9,3,6,0.33,0.67
North Sydney Oval,Hobart Hurricanes,4,0,4,0.0,1.0
Casey Fields No. 4,Sydney Sixers,3,1,2,0.33,0.67
Casey Fields No. 4,Melbourne Stars,6,3,3,0.5,0.5
Howell Oval,Sydney Thunder,1,0,1,0.0,1.0
Howell Oval,Adelaide Strikers,1,1,0,1.0,0.0
W.A.C.A. Ground,Brisbane Heat,2,0,2,0.0,1.0
W.A.C.A. Ground,Perth Scorchers,19,15,4,0.79,0.21
